isbn,title,author,year
9782081246330,La Carte et le territoire,Michel Houellebecq,2010
9780679745660,Breakfast at Tiffany's,Truman Capote,1958
9780755328950,The Cruelest Month,Louise Penny,2007
9781455581120,Mean Streak,Sandra Brown,2014
9780373773110,The Darkest Pleasure,Gena Showalter,2008
9781741663020,Halt's Peril,John Flanagan,2009
9780385539260,A Little Life,Hanya Yanagihara,2015
9781612130290,Fifty Shades of Grey,E.L. James,2011
9780375414500,Cutting for Stone,Abraham Verghese,2009
9780888994160,The Breadwinner,Deborah Ellis,2000
9781401308220,When Will Jesus Bring the Pork Chops?,George Carlin,2004
9780312305060,The Hours,Michael Cunningham,1998
9781416505070,Seven Ancient Wonders,Matthew Reilly,2005
9780586026200,The Ipcress File,Len Deighton,1962
9780141962820,The Red Pony,John Steinbeck,1933
9780440420060,Milkweed,Jerry Spinelli,2003
9780307592740,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,2012
9780099446780,The Silence of the Lambs,Thomas Harris,1988
9780385425130,The Famished Road,Ben Okri,1991
9780385537150,Gray Mountain,John Grisham,2014
9781481268510,Sometimes Never,Cheryl McIntyre,2012
9780734411850,Embrace,Jessica Shirvington,2010
9780316051590,Twenty Boy Summer,Sarah Ockler,2009
9780062285680,Four: A Divergent Collection,Veronica Roth,2014
9780385518510,Clapton: The Autobiography,Eric Clapton,2007
9780812538370,"The Wheel of Time: Boxed Set #1 (Wheel of Time, #1-3)",Robert Jordan,1990
9780886773690,Armor,John Steakley,1984
9780316115050,"Dial L for Loser (The Clique, #6)",Lisi Harrison,2006
9781478314610,Futures and Frosting,Tara Sivec,2012
9780316016650,"The Lake of Souls (Cirque Du Freak, #10)",Darren Shan,2002
9780440975340,Rumble Fish,S.E. Hinton,1975
9780312368580,Many Waters,Madeleine L'Engle,1986
9780060513060,A Light in the Attic,Shel Silverstein,1981
9780156029020,A Drink Before the War,Dennis Lehane,1994
9780380811080,Again the Magic ,Lisa Kleypas,2004
9780385488180,Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,1990
9780590442880,Clifford's Halloween (Clifford),Norman Bridwell,1966
9780373210140,The Iron Daughter,Julie Kagawa,2010
9780316010370,All He Ever Wanted,Anita Shreve,2003
9780385533850,Robopocalypse,Daniel H. Wilson,2011
9780525951990,Attachments,Rainbow Rowell,2011
9780689872990,"The Clique (The Clique, #1)",Lisi Harrison,2004
9780451230550,"The Morganville Vampires, Volume 1",Rachel Caine,2009
9781501124370,Everyone Brave Is Forgiven,Chris Cleave,2016
9781400076190,Saturday,Ian McEwan,2005
9780440418510,A Single Shard,Linda Sue Park,2001
9780778315340,The Returned,Jason Mott,2013
9789791227020,Edensor,Andrea Hirata,2007
9780553804830,The Darkest Evening of the Year,Dean Koontz,2007
9780307700320,Some Luck,Jane Smiley,2014
9780525951280,This Is Where I Leave You,Jonathan Tropper,2009
9780575113300,The Red Knight,Miles  Cameron,2012
9781451686630,The Passenger,Lisa Lutz,2016
9780060827880,Trinity: A Novel of Ireland,Leon Uris,1976
9780060572150,Truth & Beauty: A Friendship,Ann Patchett,2004
9781585678750,My Man Jeeves,P.G. Wodehouse,1919
9780425204180,"Survivor in Death (In Death, #20)",J.D. Robb,2005
9780385743600,Calamity,Brandon Sanderson,2016
9781406310270,The Ask and the Answer,Patrick Ness,2009
9780679744400,All the Pretty Horses,Cormac McCarthy,1992
9780756404080,The Name of the Wind,Patrick Rothfuss,2007
9780751525360,The Last Precinct,Patricia Cornwell,2000
9780060562500,It Happened One Autumn,Lisa Kleypas,2005
9781416971730,Leviathan,Scott Westerfeld,2009
9780553288210,The Fall of Hyperion,Dan Simmons,1990
9780399244570,The Icebound Land,John Flanagan,2005
9780345544930,Leaving Time,Jodi Picoult,2014
9780440234750,The Testament,John Grisham,1999
9780399162600,Fish In A Tree,Lynda Mullaly Hunt,2015
9780399162410,The 5th Wave,Rick Yancey,2013
9780679743620,O Pioneers!,Willa Cather,1913
9780307277770,The Painted Veil,W. Somerset Maugham,1925
9780007233700,The Book of Tomorrow,Cecelia Ahern,2009
9780670024780,The Invention of Wings,Sue Monk Kidd,2014
9780316037840,The Ambassador's Mission,Trudi Canavan,2010
9780486414230,An Ideal Husband,Oscar Wilde,1893
9781616203050,Descent,Tim Johnston,2015
9780743468400,The Warrior's Apprentice,Lois McMaster Bujold,1986
9781400065940,The All-Girl Filling Station's Last Reunion,Fannie Flagg,2013
9780062363240,A Head Full of Ghosts,Paul Tremblay,2015
9780802120200,Alif the Unseen,G. Willow Wilson,2012
9780717287570,Winnie the Pooh and Tigger Too,Walt Disney Company,1976
9780374316420,Crewel,Gennifer Albin,2012
9780670020580,Through Black Spruce,Joseph Boyden,2008
9780733800850,Don't Sweat the Small Stuff,Richard Carlson,1997
9780312187150,Enemy of God,Bernard Cornwell,1996
9780451463720,Mercy Blade,Faith Hunter,2011
9780525478810,The Fault in Our Stars,John Green,2012
9780385353780,City on Fire,Garth Risk Hallberg,2015
9780755309510,The Island,Victoria Hislop,2005
9780061997820,Harry Potter: Film Wizardry,Brian Sibley,2010
9780345396690,When Christ and His Saints Slept,Sharon Kay Penman,1994
9780399237320,"Thank You, Mr. Falker",Patricia Polacco,1998
9781843914010,Le Mur,Jean-Paul Sartre,1939
9780373210040,My Soul to Take,Rachel Vincent,2009
9780345414010,Friday,Robert A. Heinlein,1982
9781416576750,Dark Desires After Dusk,Kresley Cole,2008
9781400061270,Can't Wait to Get to Heaven,Fannie Flagg,2006
9780062122550,The one I left behind,Jennifer McMahon,2013
9781400043870,The Ruins,Scott B. Smith,2006
9780316033980,To rise again at a decent hour,Joshua Ferris,2014
9780451225010,The Black Dagger Brotherhood: An Insider's Guide,J.R. Ward,2008
9780330314920,Outer Dark,Cormac McCarthy,1968
9780312992420,Night Play,Sherrilyn Kenyon,2004
9780373605700,The Siren,Tiffany Reisz,2012
9780061727660,The Mapping of Love and Death,Jacqueline Winspear,2010
9780786932280,The Lone Drow,R.A. Salvatore,2003
9780385737430,Liar & Spy,Rebecca Stead,2012
9780547229900,The Crossing Places,Elly Griffiths,2009
9780006480100,Assassin's Apprentice,Robin Hobb,1995
9780316074320,The Luminaries,Eleanor Catton,2013
9780545142990,Numbers,Rachel Ward,2008
9780345418420,The Ringworld Engineers ,Larry Niven,1979
9781421506050,"Black Cat, Volume 1",Kentaro Yabuki,2001
9780425267070,Fever,Maya Banks,2013
9780545812540,George,Alex Gino,2015
9780312370830,Elle s'appelait Sarah,Tatiana de Rosnay,2007
9781585673700,True Grit,Charles Portis,1968
9780316134070,Dreams of Gods & Monsters,Laini Taylor,2014
9780679733710,Means of Ascent ,Robert A. Caro,1990
9780307263000,Nature Girl,Carl Hiaasen,2006
9780771064870,Dear Life,Alice Munro,2012
9780316213070,The Darkest Part of the Forest,Holly Black,2015
9781423113390,The Red Pyramid,Rick Riordan,2010
9780061138060,Pale Demon,Kim Harrison,2011
9780671673680,While My Pretty One Sleeps,Mary Higgins Clark,1989
9780425243920,Archangel's Blade,Nalini Singh,2011
9780006178740,Rage of Angels,Sidney Sheldon,1980
9780451526570,Heart of Darkness,Joseph Conrad,1910
9780451163970,One Flew Over the Cuckoo's Nest,Ken Kesey,1962
9780671578860,A Civil Campaign,Lois McMaster Bujold,1999
9780316015840,Twilight,Stephenie Meyer,2005
9780743294390,Devil Bones,Kathy Reichs,2008
9780062011990,Starcrossed,Josephine Angelini,2011
9780449214720,The Guns of Navarone,Alistair MacLean,1957
9781579126290,A Murder is Announced,Agatha Christie,1950
9780385339090,The Street Lawyer,John Grisham,1998
9780671742520,The Long Dark Tea-Time of the Soul,Douglas Adams,1988
9781590384980,"The Work and the Glory, Vol. 3: Truth Will Prevail",Gerald N. Lund,1992
9789381626690,The Krishna Key,Ashwin Sanghi,2012
9780345519510,Never Love a Highlander,Maya Banks,2011
9781250058900,Humans of New York: Stories,Brandon Stanton,2015
9781936305630,Gabriel's Inferno,Sylvain Reynard,2011
9780425192030,Lightning,Dean Koontz,1988
9780142301520,Crown Duel ,Sherwood Smith,1997
9780375836670,The Messenger,Markus Zusak,2002
9781400032050,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,2005
9780451475170,The Beast,J.R. Ward,2016
9780989794800,Twelve Years a Slave,Solomon Northup,1853
9780061007220,The Exorcist,William Peter Blatty,1971
9788424133500,Strega Nona,Tomie dePaola,1975
9780441172700,Dune Messiah ,Frank Herbert,1969
9780062004020,Die for Me,Amy Plum,2011
9780345485780,The Venetian Betrayal,Steve Berry,2007
9780061985870,Supernaturally,Kiersten White,2011
9782266079990,Contact,Carl Sagan,1985
9780441006110,Mattimeo,Brian Jacques,1990
9780671729460,If There Be Thorns,V.C. Andrews,1981
9780062068520,A Rogue by Any Other Name,Sarah MacLean,2012
9780963192560,Servant of the Bones,Anne Rice,1996
9780575099130,House of Suns,Alastair Reynolds,2008
9780743496740,Change of Heart,Jodi Picoult,2008
9780061345660,The Luxe,Anna Godbersen,2007
9780689862210,The View from Saturday,E.L. Konigsburg,1996
9780671227420,The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castaneda,1968
9781857984990,The Stainless Steel Rat,Harry Harrison,1961
9780553804800,Brother Odd,Dean Koontz,2006
9780778325340,Fire Study,Maria V. Snyder,2008
9780446614450,Split Second,David Baldacci,2003
9781423157520,Never Fade,Alexandra Bracken,2013
9780399254830,Nightshade,Andrea Cremer,2010
9780615651020,The First Confessor,Terry Goodkind,2012
9781500607530,Debt Inheritance,Pepper Winters,2014
9780802142110,Broken for You,Stephanie Kallos,2004
9780425134350,Patriot Games,Tom Clancy,1987
9781582433230,A Complicated Kindness,Miriam Toews,2004
9780440244450,Midnight Rising,Lara Adrian,2008
9780553381340,A Man in Full,Tom Wolfe,1998
9781416505420,Blowback,Brad Thor,2005
9780778329860,The Midwife's Confession,Diane Chamberlain,2011
9789799625730,Filosofi Kopi: Kumpulan Cerita dan Prosa Satu Dekade,Dee Lestari,2006
9780345354910,"Split Infinity (Apprentice Adept, #1)",Piers Anthony,1980
9780394758280,The Big Sleep,Raymond Chandler,1939
9780385741770,Meant to Be,Lauren Morrill,2012
9780316012390,Demon Thief,Darren Shan,2005
9780345505710,Victims,Jonathan Kellerman,2012
9780006486020,Fool's Errand,Robin Hobb,2001
9780316042800,"Lunch in Paris: A Love Story, with Recipes",Elizabeth Bard,2010
9780805089260,Mennonite in a Little Black Dress: A Memoir of Going Home,Rhoda Janzen,2009
9780345503820,The Desert Spear,Peter V. Brett,2010
9780441016150,Cry Wolf,Patricia Briggs,2008
9780099282650,Survivor,Chuck Palahniuk,1999
9780061229700,Vampires are Forever,Lynsay Sands,2008
9780553807230,The Peach Keeper ,Sarah Addison Allen,2011
9780743263060,Ironweed,William  Kennedy,1983
9780679728890,Death Comes for the Archbishop,Willa Cather,1927
9780755334440,His Last Bow: Some Reminiscences of Sherlock Holmes,Arthur Conan Doyle,1917
9781434764330,Waterfall,Lisa Tawn Bergren,2011
9781594482230,The Areas of My Expertise,John Hodgman,2005
9781401303270,For One More Day,Mitch Albom,2006
9780802130720,100 Selected Poems by e. e. Cummings,E.E. Cummings,1954
9780297869870,"Do No Harm: Stories of Life, Death and Brain Surgery",Henry Marsh,2014
9780061473130,Renegade's Magic,Robin Hobb,2007
9780140283360,Waiting for the Barbarians,J.M. Coetzee,1980
9780446580850,Radiant Angel,Nelson DeMille,2015
9780061935120,Hidden,Sophie Jordan,2012
9780385523900,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,2009
9780722536540,O Monte Cinco,Paulo Coelho,1996
9780451167800,Firestarter,Stephen King,1980
9780345354910,The Case of Charles Dexter Ward,H.P. Lovecraft,1941
9780375713750,I Don't Know How She Does It,Allison Pearson,2001
9780805076680,The Adoration of Jenna Fox,Mary E. Pearson,2008
9781593072930,Sin City Volume 1: The Hard Goodbye,Frank Miller,1992
9780312939010,B is for Burglar,Sue Grafton,1985
9780312352190,The Last Wife of Henry VIII,Carolly Erickson,1980
9780142001820,The Passion of Artemisia,Susan Vreeland,2001
9780786849570,The Lost Colony,Eoin Colfer,2006
9780978970760,John Dies at the End,David Wong,2007
9780446574500,Eternal Rider,Larissa Ione,2011
9780142004040,Lost in a Good Book,Jasper Fforde,2002
9780743272490,The Constant Princess,Philippa Gregory,2005
9781594205380,Lexicon,Max Barry,2013
9780061566130,Killer ,Sara Shepard,2009
9780670077040,A Long Way Home,Saroo Brierley,2013
9780062072090,Into the Still Blue,Veronica Rossi,2014
9780312997120,First Among Equals,Jeffrey Archer,1983
9780767919360,The Life and Times of The Thunderbolt Kid: A Memoir,Bill Bryson,2006
9780983212550,Perfection,R.L. Mathewson,2011
9780451190570,"The Green Mile, Part 5: Night Journey",Stephen King,1996
9780618485220,The Namesake,Jhumpa Lahiri,2003
9780571198770,Wit : A Play,Margaret Edson,1995
9781402792810,A Walk Across the Sun,Corban Addison,2011
9780312980150,Seven Up,Janet Evanovich,2001
9780062124260,Flight Behavior,Barbara Kingsolver,2012
9780689840340,Greenwitch,Susan Cooper,1974
9780375703830,Seta,Alessandro Baricco,1996
9780374260510,The Sellout,Paul Beatty,2015
9780330398050,Blubber,Judy Blume,1974
9780007442910,Insurgent,Veronica Roth,2012
9780441010650,Chasm City,Alastair Reynolds,2001
9780743484370,Remember Me ,Mary Higgins Clark,1994
9780440236560,Kiss of the Highlander,Karen Marie Moning,2001
9780553588450,Full Moon Rising,Keri Arthur,2006
9780060887380,Perfect,Sara Shepard,2007
9780060887310,Pretty Little Liars,Sara Shepard,2006
9780060744880,The Pursuit of Happyness,Chris Gardner,2006
9780316081050,Feed,Mira Grant,2010
9780312980380,Warlock: A Novel of Ancient Egypt,Wilbur Smith,1995
9780446195510,Divine Justice,David Baldacci,2008
9780062059990,The One,Kiera Cass,2014
9780307272100,The Children's Book,A.S. Byatt,2009
9781594480030,Grass for His Pillow ,Lian Hearn,2003
9781842430250,Even Cowgirls Get the Blues,Tom Robbins,1976
9780060751970,How to Marry a Millionaire Vampire,Kerrelyn Sparks,2005
9781627040200,Found in You,Laurelin Paige,2013
9780307959940,The Dog Stars,Peter Heller,2012
9780525421030,If I Stay,Gayle Forman,2009
9780345505680,Deception,Jonathan Kellerman,2009
9780451234860,"Drink Deep (Chicagoland Vampires, #5)",Chloe Neill,2011
9780345419350,All the Weyrs of Pern,Anne McCaffrey,1991
9780743271190,Takedown,Brad Thor,2006
9781594205000,Redeployment,Phil Klay,2014
9780060845540,The Boy Next Door (Boy #1),Meg Cabot,2002
9780691017850,The Hero with a Thousand Faces,Joseph Campbell,1949
9780857520660,Perfect,Rachel Joyce,2013
9781936365750,A Hologram for the King,Dave Eggers,2012
9780060935760,Harlequin,Bernard Cornwell,2000
9780312942300,Born of the Night,Sherrilyn Kenyon,1996
9780312539560,Only Time Will Tell,Jeffrey Archer,2011
9781595540550,When Crickets Cry,Charles Martin,2006
9780446547660,The Best of Me,Nicholas Sparks,2010
9780061962780,Inside Out & Back Again,Thanhha Lai,2011
9780060774070,A Bite to Remember,Lynsay Sands,2006
9780345495360,The Lady Elizabeth,Alison Weir,2008
9780306814260,"Friday Night Lights: A Town, a Team, and a Dream",H.G. Bissinger,1988
9780618250740,"Carry On, Mr. Bowditch",Jean Lee Latham,1955
9780373210500,Pushing the Limits,Katie McGarry,2012
9780061059920,The Fury,L.J. Smith,1991
9780544920960,Good as Gone,Amy Gentry,2016
9780099446730,Blackwood Farm,Anne Rice,2002
9780425230080,Bed of Roses,Nora Roberts,2009
9780007158520,I Can Read with My Eyes Shut!,Dr. Seuss,1978
9780060827650,Twilight,Erin Hunter,2006
9780689855440,"Mates, Dates, and Inflatable Bras",Cathy Hopkins,2001
9780545040520,Airhead ,Meg Cabot,2008
9780515140880,"Dark Demon (Carpathians, #16)",Christine Feehan,2002
9780802131870,The Subterraneans,Jack Kerouac,1958
9780345505510,The Jefferson Key,Steve Berry,2011
9780871297490,Henry & Ramona,Cynthia J. McGean,1997
9780765340050,Shadow Puppets,Orson Scott Card,2002
9780345339740,The Return of the King,J.R.R. Tolkien,1955
9780449221520,I is for Innocent,Sue Grafton,1992
9780425205970,Cat Among the Pigeons,Agatha Christie,1959
9780375703420,Family Matters,Rohinton Mistry,2001
9780345334310,The Ship Who Sang,Anne McCaffrey,1969
9780375727280,Lunar Park,Bret Easton Ellis,2005
9780983475440,"Maid for Love (Gansett Island Series, #1)",Marie Force,2011
9780142406630,The Ruins of Gorlan,John Flanagan,2004
9780007345630,The Single Girl's To-Do List,Lindsey Kelk,2011
9780380756280,Prisoner of my desire ,Johanna Lindsey,1991
9780375424860,Soon I Will Be Invincible,Austin Grossman,2007
9781841492060,Shadow of the Giant,Orson Scott Card,2005
9780812995340,Lincoln in the Bardo,George Saunders,2017
9781551924010,Griffin & Sabine: An Extraordinary Correspondence,Nick Bantock,1991
9780062073170,The English Girl,Daniel Silva,2013
9780345543850,Die Again,Tess Gerritsen,2014
9780451461900,Small Favor,Jim Butcher,2008
9780062300550,Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,J.D. Vance,2016
9781416928060,"Leven Thumps and the Gateway to Foo (Leven Thumps, #1)",Obert Skye,2005
9781474601570,The Danish Girl,David Ebershoff,2000
9780062081860,Ruthless,Sara Shepard,2011
9780767915820,The Sociopath Next Door,Martha Stout,2005
9780812508420,Shadows Linger,Glen Cook,1984
9781502541860,Beautiful Redemption,Jamie McGuire,2015
9780345497630,The Keepsake,Tess Gerritsen,2008
9780441017780,"Sookie Stackhouse, Books 1-7",Charlaine Harris,2008
9780765321530,Among Others,Jo Walton,2011
9780099578510,Midnight's Children,Salman Rushdie,1981
9780385737630,Revolution,Jennifer Donnelly,2010
9780385738590,The Dark And Hollow Places,Carrie Ryan,2011
9781580495770,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845
9781841493140,The Magicians' Guild,Trudi Canavan,2001
9780743451500,The Beautiful and Damned,F. Scott Fitzgerald,1922
9780441095000,The Cat Who Walks through Walls,Robert A. Heinlein,1985
9781905294720,Tintentod,Cornelia Funke,2007
9780811216010,Cat on a Hot Tin Roof,Tennessee Williams,1955
9780399250580,Scorpia Rising,Anthony Horowitz,2011
9780679889180,First Test,Tamora Pierce,1999
9781420927000,An Enquiry concerning Human Understanding,David Hume,1748
9780140436110,The Posthumous Papers of the Pickwick Club,Charles Dickens,1837
9781416599400,Extreme Measures,Vince Flynn,2008
9780618750440,The Lemonade War,Jacqueline Davies,2007
9780671758900,"Loves Music, Loves to Dance",Mary Higgins Clark,1991
9780316094610,Forgotten,Cat Patrick,2011
9780743227440,The Other Boleyn Girl,Philippa Gregory,2001
9788129135730,Half Girlfriend,Chetan Bhagat,2014
9780007158510,The Sneetches and Other Stories,Dr. Seuss,1961
9780451227200,Carpe Corpus,Rachel Caine,2009
9780380732230,Junk,Melvin Burgess,1996
9780345418490,The White Gold Wielder,Stephen R. Donaldson,1983
9780452264010,Fences (The Century Cycle #6),August Wilson,1986
9780525952060,Live Wire,Harlan Coben,2011
9781594205710,Everything I Never Told You,Celeste Ng,2014
9781594206630,Eileen,Ottessa Moshfegh,2015
9780307265780,Letter to a Christian Nation,Sam Harris,2006
9781101904220,Dark Matter,Blake Crouch,2016
9780061176100,Power of Art,Simon Schama,2006
9780345418920,The Restaurant at the End of the Universe,Douglas Adams,1980
9780141181360,Fifth Business,Robertson Davies,1970
9780743203630,Gap Creek : The Story Of A Marriage (Oprah's Book Club),Robert Morgan,1999
9780425204310,Broken Prey,John Sandford,2005
9780375719200,Appointment in Samarra,John O'Hara,1933
9781594489260,The Ghost Map,Steven Johnson,2006
9780062103730,Unraveling,Elizabeth Norris,2012
9780312349520,Fearless Fourteen,Janet Evanovich,2008
9780330371230,High Five,Janet Evanovich,1999
9780451456720,Heir to the Shadows,Anne Bishop,1999
9780749934420,Purity in Death,J.D. Robb,2002
9780385344430,Written in My Own Heart's Blood,Diana Gabaldon,2014
9780312979970,Fantasy Lover,Sherrilyn Kenyon,2002
9780393064640,Bonk: The Curious Coupling of Science and Sex,Mary Roach,2008
9780060724610,Princess Mia,Meg Cabot,2007
9781857237370,"Foundation and Chaos (Second Foundation Trilogy, #2)",Greg Bear,1998
9780375829870,The Chocolate War,Robert Cormier,1974
9780142402510,Looking for Alaska,John Green,2005
9780812974040,In the Company of the Courtesan,Sarah Dunant,2006
9780375836950,Looking for Alibrandi,Melina Marchetta,1992
9781939045010,The Secret of Ella and Micha,Jessica Sorensen,2012
9780786891080,Shopgirl: A Novella,Steve Martin,2000
9780380815920,Blackberry Wine,Joanne Harris,1999
9780316182740,Paint It Black,Janet Fitch,2006
9780425195180,Flight Of The Old Dog,Dale Brown,1987
9780979528540,Matterhorn: A Novel of the Vietnam War,Karl Marlantes,2009
9780446573110,The Sixth Man,David Baldacci,2011
9781857231360,Use of Weapons,Iain M. Banks,1990
9781599901190,The Declaration,Gemma Malley,2007
9780380817920,Ilium,Dan Simmons,2003
9781301347940,Real,Katy Evans,2013
9780743268580,I Heard That Song Before,Mary Higgins Clark,2007
9780345458940,Body Double,Tess Gerritsen,2004
9781439102400,Spider Bones,Kathy Reichs,2010
9780425214440,Eyes of Prey,John Sandford,1991
9780525421350,Tenth Grade Bleeds,Heather Brewer,2009
9780679764080,The Collected Poems of Langston Hughes,Langston Hughes,1994
9780547887200,"Son (The Giver, #4)",Lois Lowry,2012
9780061020650,Pyramids,Terry Pratchett,1989
9781582349180,City of Masks,Mary Hoffman,2002
9780439791460,Gregor and the Marks of Secret,Suzanne Collins,2006
9780060987050,Microserfs,Douglas Coupland,1995
9780805097450,The Love Affairs of Nathaniel P. ,Adelle Waldman,2013
9780316954990,War and Remembrance,Herman Wouk,1978
9780060757360,The Pigman,Paul Zindel,1968
9780425152900,Mind Prey,John Sandford,1995
9780553817060,The Surgeon,Tess Gerritsen,2001
9780062209850,The Death of Bees,Lisa O'Donnell,2012
9780375831000,The Book Thief,Markus Zusak,2005
9781595406550,The Merry Adventures of Robin Hood,Howard Pyle,1883
9780312939170,Agatha Raisin and the Quiche of Death,M.C. Beaton,1992
9780007235800,Ser Como o Rio que Flui,Paulo Coelho,2000
9780743253420,Islands in the Stream,Ernest Hemingway,1970
9780670038570,Second Chance,Jane Green,2007
9780140283330,Lord of the Flies ,William Golding,1954
9781400067240,Lucky Us,Amy Bloom,2014
9780545060390,The Maze of Bones ,Rick Riordan,2008
9780345425510,The Life of Elizabeth I,Alison Weir,1996
9780399244550,The Burning Bridge,John Flanagan,2005
9781400066120,Letter to My Daughter,Maya Angelou,2008
9780553278030,A Great Deliverance,Elizabeth  George,1988
9781616201330,The Art Forger,B.A. Shapiro,2012
9780312858860,The Prestige,Christopher Priest,1995
9780399157390,Buried Prey,John Sandford,2011
9781565126300,When She Woke,Hillary Jordan,2011
9780061852050,Nine Rules to Break When Romancing a Rake,Sarah MacLean,2010
9780307264240,A Mercy,Toni Morrison,2008
9780743298860,The Book of Lost Things,John Connolly,2006
9780140447640,Le Rouge et le Noir,"Stendhal, Roger Gard",1830
9780141019090,A Death In Vienna,Daniel Silva,2003
9781599903220,Princess of the Midnight Ball,Jessica Day George,2009
9781591141270,Flight of the Intruder,Stephen Coonts,1986
9780345461670,Judas Unchained,Peter F. Hamilton,2005
9780007119550,A Storm of Swords: Part 2 Blood and Gold,George R.R. Martin,2000
9780007154620,Unless,Carol Shields,2002
9780440910820,"A Ring of Endless Light (Austin Family, #4)",Madeleine L'Engle,1980
9781416940290,Caddie Woodlawn,Carol Ryrie Brink,1935
9780375758230,Paris to the Moon,Adam Gopnik,2000
9780316075560,The Black Prism,Brent Weeks,2010
9780812971680,Absurdistan,Gary Shteyngart,2006
9780886774000,Arrow's Fall,Mercedes Lackey,1988
9780345419580,Moreta: Dragonlady Of Pern,Anne McCaffrey,1983
9780743264460,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,2005
9780316210900,Cross My Heart,James Patterson,2013
9780810987880,"ttyl (Internet Girls, #1)",Lauren Myracle,2004
9780060080850,The Stepford Wives,Ira Levin,1972
9781442426640,Silence ,Becca Fitzpatrick,2011
9780373250110,See Jane Date,Melissa Senate,2001
9780345418460,The Wounded Land,Stephen R. Donaldson,1979
9781937248090,The Duchess War,Courtney Milan,2012
9780312351660,Smooth Talking Stranger  (Travis Family #3) ,Lisa Kleypas,2009
9780385333500,Welcome to the Monkey House,Kurt Vonnegut Jr.,1968
9780061431620,The Lollipop Shoes,Joanne Harris,2007
9780064472790,Princess in the Spotlight,Meg Cabot,2001
9780060852570,The Lacuna,Barbara Kingsolver,2009
9780618724830,The Wednesday Wars,Gary D. Schmidt,2007
9780060891560,Eaters of the Dead,Michael Crichton,1976
9780553279720,The Uplift War,David Brin,1987
9780356502430,Ancillary Mercy,Ann Leckie,2015
9780316154700,Lets Explore Diabetes with Owls,David Sedaris,2013
9780451203270,The Stranger Beside Me,Ann Rule,1980
9780380712040,Black Cherry Blues,James Lee Burke,1989
9780345544120,"Release Me (Stark Trilogy, #1)",J. Kenner,2013
9781594480870,Brilliance of the Moon ,Lian Hearn,2003
9780439568460,Stay Out of the Basement,R.L. Stine,1992
9780099478420,The Heart of the Matter,Graham Greene,1948
9788433914260,Hollywood,Charles Bukowski,1989
9780062240190,Romancing the Duke,Tessa Dare,2014
9780552142750,The MasterHarper of Pern,Anne McCaffrey,1998
9780806527280,I Hope They Serve Beer in Hell,Tucker Max,2006
9781598185220,The Moon and Sixpence,W. Somerset Maugham,1919
9781564782140,The Third Policeman,Flann O'Brien,1967
9780670021660,Committed: A Skeptic Makes Peace with Marriage,Elizabeth Gilbert,2009
9780140143910,The Mambo Kings Play Songs of Love,Oscar Hijuelos,1989
9780545060420,"One False Note (The 39 Clues, Book 2)",Gordon Korman,2008
9780553297260,Darkness,John Saul,1991
9780062348680,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,2015
9780425194850,Undead and Unwed,MaryJanice Davidson,2004
9780316113790,Say You're One of Them,Uwem Akpan,2008
9780062207400,The House Girl,Tara Conklin,2013
9780385491070,The Edible Woman,Margaret Atwood,1969
9780553344870,The River Why,David James Duncan,1983
9780758278460,What She Left Behind,Ellen Marie Wiseman,2013
9780979159300,The Lace Reader,Brunonia Barry,2006
9780312983220,Area 7,Matthew Reilly,2001
9780786887070,Lipstick Jungle,Candace Bushnell,2005
9780451458260,The Wandering Fire,Guy Gavriel Kay,1986
9780786838930,Blue Bloods,Melissa de la Cruz,2006
9780810984910,The Ugly Truth,Jeff Kinney,2010
9781400062750,Mindset: The New Psychology of Success,Carol S. Dweck,2006
9780099468200,Bleachers,John Grisham,2003
9781455520620,See Me,Nicholas Sparks,2015
9781419700280,Darth Paper Strikes Back,Tom Angleberger,2011
9780802170390,The Gathering,Anne Enright,2007
9780515143800,"Blood Brothers (Sign of Seven, #1)",Nora Roberts,2007
9780375706780,Midwives,Chris Bohjalian,1997
9780061726840,Delirium,Lauren Oliver,2011
9780380727510,Notes from a Small Island,Bill Bryson,1995
9780446573020,Zero Day,David Baldacci,2011
9781439165640,The Hundred-Foot Journey,Richard C. Morais,2008
9780684843780,This Side of Paradise,F. Scott Fitzgerald,1920
9780316254780,The Geography of You and Me,Jennifer E. Smith,2014
9780345457710,Broken Angels,Richard K. Morgan,2003
9780142405790,Scorpia,Anthony Horowitz,2004
9780847829870,Storia della bruttezza,Umberto Eco,2007
9781423118240,The Exiled Queen,Cinda Williams Chima,2010
9780312360400,Honolulu,Alan Brennert,2009
9780545060460,"In Too Deep (The 39 Clues, Book 6)",Jude Watson,2009
9780316078570,What the Dog Saw and Other Adventures,Malcolm Gladwell,2009
9780345329460,At the Mountains of Madness,H.P. Lovecraft,1931
9781416951180,Extras,Scott Westerfeld,2006
9780312424670,Small Island,Andrea Levy,2004
9780743474160,Paradise,Judith McNaught,1991
